chunk_id,theta_deg,phi_deg,M,gmin_Ainv,r_mrad,inner_ring
event://438,37.38,270.10,0,inf,inf,0
event://440,142.44,90.08,0,inf,inf,0
event://441,142.20,89.85,0,inf,inf,0
event://443,38.43,270.24,1,45.3605,258.97,0
event://444,141.09,89.88,0,inf,inf,0
event://442,38.08,270.07,0,inf,inf,0
event://445,140.84,89.95,0,inf,inf,0
event://446,140.33,90.48,0,inf,inf,0
event://447,39.98,269.95,0,inf,inf,0
event://448,40.74,270.26,0,inf,inf,0
event://452,43.42,269.99,0,inf,inf,0
event://453,135.60,90.20,0,inf,inf,0
event://451,137.30,90.01,0,inf,inf,0
event://449,41.39,269.96,0,inf,inf,0
event://454,45.36,270.21,0,inf,inf,0
event://450,42.00,269.95,0,inf,inf,0
event://455,45.91,270.12,1,49.6222,283.30,0
event://456,48.04,269.70,0,inf,inf,0
event://457,48.86,270.71,0,inf,inf,0
event://458,130.81,90.23,0,inf,inf,0
event://459,50.33,270.06,0,inf,inf,0
event://460,140.60,89.85,1,46.9375,267.98,0
event://462,39.36,270.02,0,inf,inf,0
event://461,39.34,269.99,0,inf,inf,0
event://465,39.86,269.89,0,inf,inf,0
event://463,140.42,90.18,0,inf,inf,0
event://464,39.72,270.02,0,inf,inf,0
event://466,139.74,89.65,0,inf,inf,0
event://467,139.31,89.83,0,inf,inf,0
event://468,139.01,90.09,0,inf,inf,0
event://471,137.69,89.99,0,inf,inf,0
event://469,41.34,269.94,0,inf,inf,0
event://470,41.93,269.56,0,inf,inf,0
event://472,136.94,90.22,0,inf,inf,0
event://473,136.46,89.94,0,inf,inf,0
event://474,135.86,89.92,0,inf,inf,0
event://479,131.23,89.62,0,inf,inf,0
event://480,130.35,89.74,0,inf,inf,0
event://475,44.76,270.06,0,inf,inf,0
event://478,47.05,269.71,1,49.9858,285.38,0
event://476,45.58,269.90,0,inf,inf,0
event://477,133.57,90.03,0,inf,inf,0
event://481,129.93,89.82,0,inf,inf,0
event://482,128.74,90.20,0,inf,inf,0
event://483,138.83,89.86,0,inf,inf,0
event://486,41.38,270.10,1,47.7171,272.43,0
event://488,138.18,90.34,0,inf,inf,0
event://487,41.65,269.87,0,inf,inf,0
event://489,138.08,90.34,0,inf,inf,0
event://485,138.64,89.81,0,inf,inf,0
event://484,41.30,269.94,0,inf,inf,0
event://490,137.58,90.09,0,inf,inf,0
event://491,137.36,90.08,0,inf,inf,0
event://495,44.46,270.15,0,inf,inf,0
event://492,136.81,89.91,0,inf,inf,0
event://497,45.66,270.08,0,inf,inf,0
event://496,135.10,90.28,0,inf,inf,0
event://493,43.48,270.33,0,inf,inf,0
event://494,43.90,270.24,0,inf,inf,0
event://498,133.67,89.86,0,inf,inf,0
event://504,51.13,269.84,0,inf,inf,0
event://503,50.11,270.25,0,inf,inf,0
event://505,128.09,90.39,0,inf,inf,0
event://499,46.76,269.98,1,48.9576,279.51,0
event://502,130.87,89.76,0,inf,inf,0
event://500,132.37,90.04,0,inf,inf,0
event://501,131.54,89.84,0,inf,inf,0
event://506,136.70,90.08,0,inf,inf,0
event://510,43.53,270.27,0,inf,inf,0
event://509,136.60,90.16,0,inf,inf,0
event://511,136.21,89.67,0,inf,inf,0
event://507,43.27,270.03,0,inf,inf,0
event://513,44.12,269.95,0,inf,inf,0
event://512,43.90,269.84,1,49.3793,281.92,0
event://508,43.38,269.83,1,50.7949,290.00,0
event://514,44.43,270.13,0,inf,inf,0
event://516,134.82,90.01,0,inf,inf,0
event://515,44.77,269.95,1,47.7452,272.59,0
event://517,134.42,90.03,0,inf,inf,0
event://518,133.98,90.04,0,inf,inf,0
event://521,47.68,269.89,0,inf,inf,0
event://520,132.94,90.05,0,inf,inf,0
event://519,133.59,89.98,0,inf,inf,0
event://522,48.19,270.10,0,inf,inf,0
event://528,126.69,89.81,0,inf,inf,0
event://527,127.98,89.59,0,inf,inf,0
event://523,131.02,90.05,0,inf,inf,0
event://524,49.53,269.86,0,inf,inf,0
event://526,51.27,269.81,0,inf,inf,0
event://525,50.36,269.96,0,inf,inf,0
event://529,134.81,90.14,0,inf,inf,0
event://532,45.36,270.03,1,44.0561,251.53,0
event://530,45.25,269.99,0,inf,inf,0
event://533,45.42,270.10,0,inf,inf,0
event://531,45.24,269.92,0,inf,inf,0
event://534,134.40,90.12,0,inf,inf,0
event://535,45.82,269.87,0,inf,inf,0
event://536,133.99,89.91,0,inf,inf,0
event://537,46.27,269.98,1,48.8482,278.89,0
event://539,46.87,270.04,0,inf,inf,0
event://540,132.79,90.02,0,inf,inf,0
event://538,46.47,269.97,0,inf,inf,0
event://542,48.05,269.98,0,inf,inf,0
event://541,132.43,89.98,0,inf,inf,0
event://543,131.44,89.98,0,inf,inf,0
event://544,49.09,269.96,0,inf,inf,0
event://545,49.60,269.99,0,inf,inf,0
event://551,54.43,269.79,0,inf,inf,0
event://547,128.91,90.07,1,48.8792,279.06,0
event://546,50.27,270.02,0,inf,inf,0
event://548,128.64,90.04,0,inf,inf,0
event://550,53.04,270.06,0,inf,inf,0
event://549,127.74,90.12,0,inf,inf,0
event://552,132.81,89.83,0,inf,inf,0
event://553,47.18,270.00,0,inf,inf,0
event://554,132.90,89.88,0,inf,inf,0
event://555,132.82,90.03,0,inf,inf,0
event://556,132.63,90.02,0,inf,inf,0
event://557,132.48,89.92,1,46.8152,267.28,0
event://559,132.10,90.13,1,45.2957,258.60,0
event://558,132.27,89.89,0,inf,inf,0
event://560,131.82,90.06,0,inf,inf,0
event://561,48.34,270.07,1,48.7020,278.05,0
event://563,130.81,89.98,0,inf,inf,0
event://562,48.77,270.01,0,inf,inf,0
event://566,129.49,90.09,0,inf,inf,0
event://565,50.00,269.82,0,inf,inf,0
event://567,50.97,269.97,0,inf,inf,0
event://564,130.51,90.00,0,inf,inf,0
event://568,51.59,270.00,0,inf,inf,0
event://571,126.48,90.11,0,inf,inf,0
event://570,52.79,269.99,0,inf,inf,0
event://569,52.13,269.98,0,inf,inf,0
event://574,124.25,90.03,0,inf,inf,0
event://572,54.24,269.75,0,inf,inf,0
event://573,125.02,89.92,0,inf,inf,0
event://575,48.94,270.00,0,inf,inf,0
event://576,49.24,270.10,0,inf,inf,0
event://577,130.82,89.69,0,inf,inf,0
event://578,130.71,89.85,0,inf,inf,0
event://580,49.49,269.94,0,inf,inf,0
event://579,49.32,269.96,0,inf,inf,0
event://582,49.84,270.12,0,inf,inf,0
event://581,49.69,270.02,1,44.0670,251.59,0
event://583,129.96,90.07,0,inf,inf,0
event://585,50.72,270.10,0,inf,inf,0
event://584,50.45,270.05,0,inf,inf,0
event://587,128.55,90.05,0,inf,inf,0
event://588,128.06,90.03,0,inf,inf,0
event://586,51.15,269.90,1,44.7343,255.40,0
event://589,52.45,269.94,0,inf,inf,0
event://590,127.09,90.02,1,44.8981,256.33,0
event://591,53.43,270.05,0,inf,inf,0
event://597,57.30,270.49,0,inf,inf,0
event://593,125.29,90.05,0,inf,inf,0
event://595,124.13,89.76,1,50.6198,289.00,0
event://596,123.07,89.92,0,inf,inf,0
event://594,124.73,90.02,0,inf,inf,0
event://598,129.06,89.99,0,inf,inf,0
event://592,125.92,90.01,0,inf,inf,0
event://599,51.20,269.96,1,47.8567,273.23,0
event://600,51.09,269.98,1,46.5561,265.80,0
event://604,128.41,90.22,0,inf,inf,0
event://603,128.61,89.89,1,47.2505,269.76,0
event://601,51.19,270.04,0,inf,inf,0
event://602,128.82,89.99,0,inf,inf,0
event://605,51.82,269.90,1,46.2522,264.06,0
event://607,127.70,90.01,0,inf,inf,0
event://606,52.11,270.06,0,inf,inf,0
event://608,52.66,269.94,0,inf,inf,0
event://610,53.47,269.88,0,inf,inf,0
event://612,54.33,269.95,0,inf,inf,0
event://611,53.87,269.96,0,inf,inf,0
event://609,126.96,89.93,0,inf,inf,0
event://614,124.55,90.05,0,inf,inf,0
